▊| 2462/2500 [27:57<00:26,  1.41it/s, lr: 1.0e-04 loss: 4.317e-01]
olh_person_zimage:  99%|█████████▊| 2463/2500 [27:57<00:26,  1.42it/s, lr: 1.0e-04 loss: 4.317e-01]
olh_person_zimage:  99%|█████████▊| 2463/2500 [27:57<00:26,  1.42it/s, lr: 1.0e-04 loss: 4.742e-01]
olh_person_zimage:  99%|█████████▊| 2464/2500 [27:57<00:25,  1.43it/s, lr: 1.0e-04 loss: 4.742e-01]
olh_person_zimage:  99%|█████████▊| 2464/2500 [27:58<00:25,  1.43it/s, lr: 1.0e-04 loss: 3.786e-01]
olh_person_zimage:  99%|█████████▊| 2465/2500 [27:58<00:23,  1.47it/s, lr: 1.0e-04 loss: 3.786e-01]
olh_person_zimage:  99%|█████████▊| 2465/2500 [27:59<00:23,  1.47it/s, lr: 1.0e-04 loss: 6.362e-01]
olh_person_zimage:  99%|█████████▊| 2466/2500 [27:59<00:22,  1.49it/s, lr: 1.0e-04 loss: 6.362e-01]
olh_person_zimage:  99%|█████████▊| 2466/2500 [27:59<00:22,  1.49it/s, lr: 1.0e-04 loss: 3.833e-01]
olh_person_zimage:  99%|█████████▊| 2467/2500 [27:59<00:21,  1.51it/s, lr: 1.0e-04 loss: 3.833e-01]
olh_person_zimage:  99%|█████████▊| 2467/2500 [28:00<00:21,  1.51it/s, lr: 1.0e-04 loss: 3.958e-01]
olh_person_zimage:  99%|█████████▊| 2468/2500 [28:00<00:21,  1.50it/s, lr: 1.0e-04 loss: 3.958e-01]
olh_person_zimage:  99%|█████████▊| 2468/2500 [28:01<00:21,  1.50it/s, lr: 1.0e-04 loss: 3.826e-01]
olh_person_zimage:  99%|█████████▉| 2469/2500 [28:01<00:20,  1.49it/s, lr: 1.0e-04 loss: 3.826e-01]
olh_person_zimage:  99%|█████████▉| 2469/2500 [28:01<00:20,  1.49it/s, lr: 1.0e-04 loss: 3.667e-01]
olh_person_zimage:  99%|█████████▉| 2470/2500 [28:01<00:19,  1.51it/s, lr: 1.0e-04 loss: 3.667e-01]
olh_person_zimage:  99%|█████████▉| 2470/2500 [28:02<00:19,  1.51it/s, lr: 1.0e-04 loss: 4.610e-01]
olh_person_zimage:  99%|█████████▉| 2471/2500 [28:02<00:21,  1.34it/s, lr: 1.0e-04 loss: 4.610e-01]
olh_person_zimage:  99%|█████████▉| 2471/2500 [28:03<00:21,  1.34it/s, lr: 1.0e-04 loss: 4.617e-01]
olh_person_zimage:  99%|█████████▉| 2472/2500 [28:03<00:20,  1.40it/s, lr: 1.0e-04 loss: 4.617e-01]
olh_person_zimage:  99%|█████████▉| 2472/2500 [28:04<00:20,  1.40it/s, lr: 1.0e-04 loss: 4.342e-01]
olh_person_zimage:  99%|█████████▉| 2473/2500 [28:04<00:18,  1.45it/s, lr: 1.0e-04 loss: 4.342e-01]
olh_person_zimage:  99%|█████████▉| 2473/2500 [28:04<00:18,  1.45it/s, lr: 1.0e-04 loss: 3.926e-01]
olh_person_zimage:  99%|█████████▉| 2474/2500 [28:04<00:17,  1.48it/s, lr: 1.0e-04 loss: 3.926e-01]
olh_person_zimage:  99%|█████████▉| 2474/2500 [28:05<00:17,  1.48it/s, lr: 1.0e-04 loss: 4.487e-01]
olh_person_zimage:  99%|█████████▉| 2475/2500 [28:05<00:16,  1.50it/s, lr: 1.0e-04 loss: 4.487e-01]
olh_person_zimage:  99%|█████████▉| 2475/2500 [28:05<00:16,  1.50it/s, lr: 1.0e-04 loss: 4.439e-01]
olh_person_zimage:  99%|█████████▉| 2476/2500 [28:05<00:16,  1.50it/s, lr: 1.0e-04 loss: 4.439e-01]
olh_person_zimage:  99%|█████████▉| 2476/2500 [28:06<00:16,  1.50it/s, lr: 1.0e-04 loss: 4.264e-01]
olh_person_zimage:  99%|█████████▉| 2477/2500 [28:06<00:15,  1.46it/s, lr: 1.0e-04 loss: 4.264e-01]
olh_person_zimage:  99%|█████████▉| 2477/2500 [28:07<00:15,  1.46it/s, lr: 1.0e-04 loss: 4.654e-01]
olh_person_zimage:  99%|█████████▉| 2478/2500 [28:07<00:14,  1.49it/s, lr: 1.0e-04 loss: 4.654e-01]
olh_person_zimage:  99%|█████████▉| 2478/2500 [28:07<00:14,  1.49it/s, lr: 1.0e-04 loss: 3.988e-01]
olh_person_zimage:  99%|█████████▉| 2479/2500 [28:07<00:13,  1.52it/s, lr: 1.0e-04 loss: 3.988e-01]
olh_person_zimage:  99%|█████████▉| 2479/2500 [28:08<00:13,  1.52it/s, lr: 1.0e-04 loss: 3.641e-01]
olh_person_zimage:  99%|█████████▉| 2480/2500 [28:08<00:12,  1.55it/s, lr: 1.0e-04 loss: 3.641e-01]
olh_person_zimage:  99%|█████████▉| 2480/2500 [28:09<00:12,  1.55it/s, lr: 1.0e-04 loss: 5.787e-01]
olh_person_zimage:  99%|█████████▉| 2481/2500 [28:09<00:12,  1.56it/s, lr: 1.0e-04 loss: 5.787e-01]
olh_person_zimage:  99%|█████████▉| 2481/2500 [28:09<00:12,  1.56it/s, lr: 1.0e-04 loss: 4.006e-01]
olh_person_zimage:  99%|█████████▉| 2482/2500 [28:09<00:11,  1.57it/s, lr: 1.0e-04 loss: 4.006e-01]
olh_person_zimage:  99%|█████████▉| 2482/2500 [28:10<00:11,  1.57it/s, lr: 1.0e-04 loss: 3.902e-01]
olh_person_zimage:  99%|█████████▉| 2483/2500 [28:10<00:10,  1.57it/s, lr: 1.0e-04 loss: 3.902e-01]
olh_person_zimage:  99%|█████████▉| 2483/2500 [28:11<00:10,  1.57it/s, lr: 1.0e-04 loss: 3.992e-01]
olh_person_zimage:  99%|█████████▉| 2484/2500 [28:11<00:10,  1.54it/s, lr: 1.0e-04 loss: 3.992e-01]
olh_person_zimage:  99%|█████████▉| 2484/2500 [28:11<00:10,  1.54it/s, lr: 1.0e-04 loss: 5.685e-01]
olh_person_zimage:  99%|█████████▉| 2485/2500 [28:11<00:09,  1.53it/s, lr: 1.0e-04 loss: 5.685e-01]
olh_person_zimage:  99%|█████████▉| 2485/2500 [28:12<00:09,  1.53it/s, lr: 1.0e-04 loss: 5.003e-01]
olh_person_zimage:  99%|█████████▉| 2486/2500 [28:12<00:10,  1.37it/s, lr: 1.0e-04 loss: 5.003e-01]
olh_person_zimage:  99%|█████████▉| 2486/2500 [28:13<00:10,  1.37it/s, lr: 1.0e-04 loss: 5.003e-01]
olh_person_zimage:  99%|█████████▉| 2487/2500 [28:13<00:09,  1.41it/s, lr: 1.0e-04 loss: 5.003e-01]
olh_person_zimage:  99%|█████████▉| 2487/2500 [28:14<00:09,  1.41it/s, lr: 1.0e-04 loss: 3.469e-01]
olh_person_zimage: 100%|█████████▉| 2488/2500 [28:14<00:08,  1.39it/s, lr: 1.0e-04 loss: 3.469e-01]
olh_person_zimage: 100%|█████████▉| 2488/2500 [28:14<00:08,  1.39it/s, lr: 1.0e-04 loss: 4.272e-01]
olh_person_zimage: 100%|█████████▉| 2489/2500 [28:14<00:07,  1.41it/s, lr: 1.0e-04 loss: 4.272e-01]
olh_person_zimage: 100%|█████████▉| 2489/2500 [28:15<00:07,  1.41it/s, lr: 1.0e-04 loss: 4.213e-01]
olh_person_zimage: 100%|█████████▉| 2490/2500 [28:15<00:06,  1.44it/s, lr: 1.0e-04 loss: 4.213e-01]
olh_person_zimage: 100%|█████████▉| 2490/2500 [28:16<00:06,  1.44it/s, lr: 1.0e-04 loss: 4.343e-01]
olh_person_zimage: 100%|█████████▉| 2491/2500 [28:16<00:06,  1.47it/s, lr: 1.0e-04 loss: 4.343e-01]
olh_person_zimage: 100%|█████████▉| 2491/2500 [28:16<00:06,  1.47it/s, lr: 1.0e-04 loss: 6.187e-01]
olh_person_zimage: 100%|█████████▉| 2492/2500 [28:16<00:05,  1.49it/s, lr: 1.0e-04 loss: 6.187e-01]
olh_person_zimage: 100%|█████████▉| 2492/2500 [28:17<00:05,  1.49it/s, lr: 1.0e-04 loss: 5.864e-01]
olh_person_zimage: 100%|█████████▉| 2493/2500 [28:17<00:04,  1.50it/s, lr: 1.0e-04 loss: 5.864e-01]
olh_person_zimage: 100%|█████████▉| 2493/2500 [28:18<00:04,  1.50it/s, lr: 1.0e-04 loss: 7.408e-01]
olh_person_zimage: 100%|█████████▉| 2494/2500 [28:18<00:03,  1.51it/s, lr: 1.0e-04 loss: 7.408e-01]
olh_person_zimage: 100%|█████████▉| 2494/2500 [28:18<00:03,  1.51it/s, lr: 1.0e-04 loss: 4.964e-01]
olh_person_zimage: 100%|█████████▉| 2495/2500 [28:18<00:03,  1.50it/s, lr: 1.0e-04 loss: 4.964e-01]
olh_person_zimage: 100%|█████████▉| 2495/2500 [28:19<00:03,  1.50it/s, lr: 1.0e-04 loss: 4.032e-01]
olh_person_zimage: 100%|█████████▉| 2496/2500 [28:19<00:02,  1.52it/s, lr: 1.0e-04 loss: 4.032e-01]
olh_person_zimage: 100%|█████████▉| 2496/2500 [28:20<00:02,  1.52it/s, lr: 1.0e-04 loss: 2.937e-01]
olh_person_zimage: 100%|█████████▉| 2497/2500 [28:20<00:01,  1.53it/s, lr: 1.0e-04 loss: 2.937e-01]
olh_person_zimage: 100%|█████████▉| 2497/2500 [28:20<00:01,  1.53it/s, lr: 1.0e-04 loss: 3.584e-01]
olh_person_zimage: 100%|█████████▉| 2498/2500 [28:20<00:01,  1.52it/s, lr: 1.0e-04 loss: 3.584e-01]
olh_person_zimage: 100%|█████████▉| 2498/2500 [28:21<00:01,  1.52it/s, lr: 1.0e-04 loss: 2.742e-01]
olh_person_zimage: 100%|█████████▉| 2499/2500 [28:21<00:00,  1.53it/s, lr: 1.0e-04 loss: 2.742e-01]
olh_person_zimage: 100%|█████████▉| 2499/2500 [28:21<00:00,  1.47it/s, lr: 1.0e-04 loss: 2.742e-01]
Saved checkpoint to /workspace/loras_out/olh_person_zimage/olh_person_zimage.safetensors
Saved optimizer to /workspace/loras_out/olh_person_zimage/optimizer.pt
Unloading assistant lora

Generating Samples:   0%|          | 0/3 [00:00<?, ?it/s]
Generating Samples:  33%|███▎      | 1/3 [00:03<00:06,  3.33s/it]
Generating Samples:  67%|██████▋   | 2/3 [00:06<00:03,  3.35s/it]
Generating Samples: 100%|██████████| 3/3 [00:10<00:00,  3.34s/it]
Generating Samples: 100%|██████████| 3/3 [00:10<00:00,  3.34s/it]
Loading assistant lora


